Name,Description,Price1,Price2,Image
Tomates,Tomates Cocktail Pote Caja,$1.190,$ Precio x Un : $1.190,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329178a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lider,Almendra Natural,$5.990,$ Precio x Kg : $19.967,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328056a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Hoja de Roble Verde Hidroponica Unidad,$1.150,$ Precio x Un : $1.150,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/699339a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Champiñones,Champiñon Laminado,$1.190,$ Precio x Kg : $5.950,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329180a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cebollín,Cebollín Granel 3 unidades,$650,$ Precio x Un : $650,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/327664a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Española,$690,$ Precio x Un : $690,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/738566a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cebolla,Cebolla Morada Malla,$1.590,$ Precio x Kg : $1.590,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329476a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mango,Mango Granel,$2.090,Precio x Kg:$2.090,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/331020a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Peras,Peras Packams Bolsa,$2.190,$ Precio x Kg : $1.095,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/323762a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Fuji Bolsa,$2.190,$ Precio x Kg : $1.095,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/324918a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Betarragas,Betarragas Bolsa,$990,$ Precio x Un : $198,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/329554a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cebolla,Cebolla Tubular Malla,$1.090,$ Precio x Un : $363,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/327044a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Verde Bolsa,$2.190,$ Precio x Kg : $1.095,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/6751a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Apio Bastones Bolsa,$1.390,$ Precio x Kg : $2.780,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325264a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Tomates,Tomates Pera Granel,$1.490,Precio x Kg:$1.490,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/452098a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kiwi,Kiwi Bolsa,$1.490,$ Precio x Un : $1.490,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/5027a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Albahaca,Albahaca,$1.350,$ Precio x Un : $1.350,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/327682a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Repollo,Repollo Crespo Unidad,$990,$ Precio x Un : $990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/4559a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Coliflor,Coliflor Film Unidad,$1.090,$ Precio x Un : $1.090,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/6831a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Royal Gala,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/829880a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Frutillas,Frutillas Pote,$1.990,$ Precio x Kg : $6.633,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/327292a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cebolla,Cebolla Granel,$1.050,Precio x Kg:$1.050,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/323588a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
