Name,Description,Price1,Price2,Image
Nescafé,Pack 4 Sobres,$1.000,$ Precio x Kg : $15.625,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/918309a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Nestlé,Café Black Roast 50g,$1.000,$ Precio x Kg : $20.000,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1053668a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Vivo,Cereal Vivo Line Berries,$1.000,$ Precio x Kg : $5.000,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1054745a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Dole,Ensalada Zanahoria Juliana 600 g,$1.190,$ Precio x Kg : $1.983,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997565a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ensalada,Ensalada Espinaca Picada 350 g,$1.190,$ Precio x Kg : $3.400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997577a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Quaker,Avena Multisemillas Chia Linaza y Sesamo Negro 400g,$1.190,$ Precio x Kg : $2.975,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/996833a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Quaker,"Avena Multisemillas Chía, Linaza y Sésamo Negro",$1.190,$ Precio x Kg : $2.975,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/996835a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Trattoria,Pastas de Arroz,$1.250,$ Precio x Kg : $5.000,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1026867a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Arcor,Tableta Rocklet Chocolate,$1.290,$ Precio x Kg : $10.320,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/997805a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Parent's Choice,Pack Toallitas Húmedas Soft,$1.290,$ Precio x Un : $14,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/757348a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
